householdID,hhexp,hhexp_food,hhexp_med,hhexp_covidprev,ends_meet
0940041260,4500,80,0,-1,2
0940041110,4500,300,12000,50,3
0940041140,3900,300,2000,100,3
0940041190,2500,150,0,30,3
0940041090,6000,800,130000,5000,3
0940041160,12000,1000,3480,500,3
0940041170,3000,260,5000,0,3
0940043130,5000,800,0,200,3
0940043170,6000,1500,20000,1000,3
0940043160,5000,1000,1000,200,3
0940043080,2000,70,70,200,3
0940043050,3000,500,1600,-1,3
0940043030,6000,800,0,0,4
0940043070,5000,1000,3000,300,3
0940043190,3000,300,3600,120,3
0940043220,10000,1000,2000,600,3
0940043180,5000,500,0,800,3
0940043110,5000,1000,2000,3000,3
0940043060,2000,700,2000,10,3
0940042190,5500,200,0,500,2
0940042200,7750,740,50000,500,3
0940042100,5000,500,20000,300,2
0940042050,5000,800,4000,500,2
0940042170,3000,1000,400,100,3
0940042130,10000,500,80000,200,3
0940042260,7970,220,24000,0,2
0940042140,4000,800,8000,500,3
0940042160,4500,200,1500,80,4
0940042040,2000,500,-1,-1,4
0940042120,3000,700,3000,-1,4
0940042220,8000,700,6000,0,3
1940372230,5000,1000,7000,600,3
1940372080,4500,1000,6500,1000,3
1940372150,2000,500,1000,-1,3
1940372190,2500,600,2500,550,3
1940372090,2000,800,2000,500,3
1940372140,1000,200,2750,100,4
1940372060,3000,650,30000,500,3
1940372070,5000,200,8000,-1,3
1940372180,1000,250,10000,-1,3
1940372040,5000,600,8000,300,2
1940372240,5000,900,5000,500,2
1940372200,4000,500,1000,500,3
1940372110,1500,250,15000,200,3
1940372270,2500,300,150,150,3
1940372120,5500,1000,0,1000,3
1940373330,3000,100,4000,150,3
1940373420,10000,550,0,450,4
1940373010,4000,250,3600,-1,2
1940373200,4000,160,0,50,3
1940373150,300,0,-1,-1,4
1940373110,900,150,540,100,3
1940373100,1000,300,0,0,3
1940373290,1000,200,0,-1,3
1940373160,2500,300,730,82,3
1940373140,1000,150,100,300,3
1940373210,4500,350,25000,200,2
1940373190,3500,400,3000,200,4
1940373060,750,450,0,-1,3
1940373250,5500,900,5000,1000,2
1940373450,3000,670,0,20,3
1940373510,3000,210,0,300,3
1940373080,1000,400,4000,300,2
1940373070,3000,500,3800,300,2
1940373400,3000,210,4000,400,3
1940373260,2000,200,8000,400,3
1940373480,2700,490,400,165,3
1940373280,1800,50,520,-1,3
1940373470,2000,500,400,500,3
1940373440,2600,200,500,400,2
1940373410,2000,500,4000,130,3
1940373500,2600,210,130000,70,1
1940373240,1000,350,120000,0,3
1940373020,2400,300,0,20,2
1940373430,4500,400,5000,500,3
1940373320,3000,600,3120,50,3
1940373350,4000,500,5000,0,3
1940373270,3000,350,10000,300,3
1940373300,4000,450,0,0,3
1940373360,1500,500,20000,500,2
1940373380,3000,1000,0,0,3
1940373340,1000,100,2000,200,1
1940373180,3000,350,2e+05,200,3
1940373030,4000,100,10000,2000,3
1940373490,1200,100,30000,700,1
1940373120,5000,1500,2000,200,2
0640283130,3000,200,2000,100,2
0640283160,1000,500,20000,-1,2
0640283170,5000,250,3500,450,2
0640283140,8000,1350,6000,50,2
0640283100,1000,200,-1,0,3
0640283080,2500,700,12000,30,2
0640283050,2000,2000,7000,250,1
0640283040,3000,700,10000,100,3
0640283010,1500,125,2000,0,3
0640281060,1000,100,22000,0,3
0640281050,5000,3000,3500,300,3
0640281240,5000,210,20000,100,1
0640281080,5000,800,8000,1000,3
0640281020,2000,400,1500,400,2
0640281210,4000,1000,30000,300,3
0640281100,3000,500,5000,200,3
0640281170,2000,1000,10000,0,3
0640281030,10000,500,0,1500,4
0640281150,4500,700,24000,200,2
0640281260,3000,1000,10000,300,3
0640281180,4000,300,0,-1,4
0640281140,10000,1000,15000,500,3
0640281220,2000,300,3000,50,3
0640281040,2000,560,3500,40,3
0640281190,2500,350,30000,0,3
0640281130,2000,300,3000,200,3
0640282080,3000,150,0,650,3
0640282180,4000,300,300,200,2
0640282070,3000,500,500,500,3
0640282120,8000,1000,10000,1000,2
0640282230,6000,800,700,500,3
0640282050,2500,350,2500,1000,3
0640282030,3500,600,36000,0,3
0640282210,2000,50,0,500,3
0640282200,1000,150,500,100,3
0640282100,250,7,0,700,1
